,ENSEMBLE,REAL,ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
154,iter-0,25,LowerReek,1,116654805.65,22501481.74,17359053.41,10917643.47
155,iter-0,25,LowerReek,2,0.0,0.0,0.0,0.0
156,iter-0,26,UpperReek,1,244101716.33,39986791.19,29433224.75,18511461.79
157,iter-0,26,UpperReek,2,0.0,0.0,0.0,0.0
158,iter-0,26,MidReek,1,242957951.45,38375824.63,27716619.25,17431835.72
159,iter-0,26,MidReek,2,0.0,0.0,0.0,0.0
160,iter-0,26,LowerReek,1,126194874.98,21485315.87,16195751.9,10186007.31
161,iter-0,26,LowerReek,2,0.0,0.0,0.0,0.0
162,iter-0,27,UpperReek,1,273654552.93,48128919.11,36899150.77,23207012.67
163,iter-0,27,UpperReek,2,0.0,0.0,0.0,0.0
164,iter-0,27,MidReek,1,197742118.34,37291137.16,28983207.16,18228431.87
165,iter-0,27,MidReek,2,0.0,0.0,0.0,0.0
166,iter-0,27,LowerReek,1,122819185.97,23378074.75,18430793.98,11591694.13
167,iter-0,27,LowerReek,2,0.0,0.0,0.0,0.0
168,iter-0,28,UpperReek,1,234683155.5,41439212.06,33060686.97,20792884.54
169,iter-0,28,UpperReek,2,0.0,0.0,0.0,0.0
170,iter-0,28,MidReek,1,184384486.55,35685873.12,28683491.17,18039931.25
171,iter-0,28,MidReek,2,0.0,0.0,0.0,0.0
172,iter-0,28,LowerReek,1,127803556.59,24527085.11,19593755.81,12323116.65
173,iter-0,28,LowerReek,2,0.0,0.0,0.0,0.0
174,iter-0,29,UpperReek,1,264926724.02,41250510.82,28811607.93,18120507.84
175,iter-0,29,UpperReek,2,0.0,0.0,0.0,0.0
176,iter-0,29,MidReek,1,208676098.07,35927395.7,27450023.48,17264165.42
177,iter-0,29,MidReek,2,0.0,0.0,0.0,0.0
178,iter-0,29,LowerReek,1,115349862.84,21714165.64,17184900.4,10808113.28
179,iter-0,29,LowerReek,2,0.0,0.0,0.0,0.0
180,iter-0,30,UpperReek,1,258816179.95,37370811.98,25744336.82,16191406.53
181,iter-0,30,UpperReek,2,0.0,0.0,0.0,0.0
182,iter-0,30,MidReek,1,211007432.68,35669067.38,27365461.8,17210981.98
183,iter-0,30,MidReek,2,0.0,0.0,0.0,0.0
184,iter-0,30,LowerReek,1,122678151.21,22528745.54,17363794.39,10920625.22
185,iter-0,30,LowerReek,2,0.0,0.0,0.0,0.0
186,iter-0,31,UpperReek,1,274001149.9,41803754.21,30328609.52,19074596.86
187,iter-0,31,UpperReek,2,0.0,0.0,0.0,0.0
188,iter-0,31,MidReek,1,227388173.59,39821240.64,30577312.99,19231014.14
189,iter-0,31,MidReek,2,0.0,0.0,0.0,0.0
190,iter-0,31,LowerReek,1,126523441.73,24088862.87,18932214.03,11907052.65
191,iter-0,31,LowerReek,2,0.0,0.0,0.0,0.0
192,iter-0,32,UpperReek,1,352256077.74,46774731.53,31245718.95,19651395.23
193,iter-0,32,UpperReek,2,0.0,0.0,0.0,0.0
194,iter-0,32,MidReek,1,222330730.73,37032318.6,28672811.75,18033214.63
195,iter-0,32,MidReek,2,0.0,0.0,0.0,0.0
196,iter-0,32,LowerReek,1,152760231.81,29952269.97,24031109.66,15113905.2
197,iter-0,32,LowerReek,2,0.0,0.0,0.0,0.0
198,iter-0,33,UpperReek,1,295521917.75,45941401.52,34049043.28,21414492.27
199,iter-0,33,UpperReek,2,0.0,0.0,0.0,0.0
200,iter-0,33,MidReek,1,209017170.12,39880107.99,32709174.01,20571807.21
201,iter-0,33,MidReek,2,0.0,0.0,0.0,0.0
202,iter-0,33,LowerReek,1,153785215.52,33390575.86,28416777.89,17872187.06
203,iter-0,33,LowerReek,2,0.0,0.0,0.0,0.0
204,iter-0,34,UpperReek,1,240990601.71,38152357.75,28076906.69,17658431.59
205,iter-0,34,UpperReek,2,0.0,0.0,0.0,0.0
206,iter-0,34,MidReek,1,202431013.94,33504315.27,24962253.68,15699530.35
207,iter-0,34,MidReek,2,0.0,0.0,0.0,0.0
208,iter-0,34,LowerReek,1,135036358.22,23289529.25,17910066.46,11264192.56
209,iter-0,34,LowerReek,2,0.0,0.0,0.0,0.0
210,iter-0,35,UpperReek,1,303041270.62,46289977.51,33497170.7,21067402.61
211,iter-0,35,UpperReek,2,0.0,0.0,0.0,0.0
212,iter-0,35,MidReek,1,240050232.76,44053317.73,34952066.34,21982431.3
213,iter-0,35,MidReek,2,0.0,0.0,0.0,0.0
214,iter-0,35,LowerReek,1,134534976.98,29773989.03,25005072.24,15726460.26
215,iter-0,35,LowerReek,2,0.0,0.0,0.0,0.0
216,iter-0,36,UpperReek,1,308369681.4,46273252.35,35487166.31,22318972.15
217,iter-0,36,UpperReek,2,0.0,0.0,0.0,0.0
218,iter-0,36,MidReek,1,215940799.16,36940376.64,28243354.02,17763115.44
219,iter-0,36,MidReek,2,0.0,0.0,0.0,0.0
220,iter-0,36,LowerReek,1,120231914.53,21511990.85,16420833.85,10327568.28
221,iter-0,36,LowerReek,2,0.0,0.0,0.0,0.0
222,iter-0,37,UpperReek,1,260309931.73,42715115.17,32139192.0,20213327.96
223,iter-0,37,UpperReek,2,0.0,0.0,0.0,0.0
224,iter-0,37,MidReek,1,186218719.43,35971290.08,28995596.05,18236223.62
225,iter-0,37,MidReek,2,0.0,0.0,0.0,0.0
226,iter-0,37,LowerReek,1,117550867.36,23623226.69,19155982.95,12047787.82
227,iter-0,37,LowerReek,2,0.0,0.0,0.0,0.0
228,iter-0,38,UpperReek,1,285409660.13,41893187.26,30413266.99,19127840.55
229,iter-0,38,UpperReek,2,0.0,0.0,0.0,0.0
230,iter-0,38,MidReek,1,226129453.52,38742109.48,28733248.3,18071225.04
231,iter-0,38,MidReek,2,0.0,0.0,0.0,0.0
232,iter-0,38,LowerReek,1,122595296.57,22825387.13,18294887.11,11506218.12
233,iter-0,38,LowerReek,2,0.0,0.0,0.0,0.0
234,iter-0,39,UpperReek,1,285190096.31,50289789.16,38826132.4,24418950.79
235,iter-0,39,UpperReek,2,0.0,0.0,0.0,0.0
236,iter-0,39,MidReek,1,205991453.83,39157361.07,30755068.45,19342810.02
237,iter-0,39,MidReek,2,0.0,0.0,0.0,0.0
238,iter-0,39,LowerReek,1,116811035.44,24027778.04,19743606.69,12417362.5
239,iter-0,39,LowerReek,2,0.0,0.0,0.0,0.0
240,iter-0,40,UpperReek,1,293799502.93,44474370.81,31044335.78,19524739.16
241,iter-0,40,UpperReek,2,0.0,0.0,0.0,0.0
242,iter-0,40,MidReek,1,224155896.44,35575461.76,26800344.71,16855562.44
243,iter-0,40,MidReek,2,0.0,0.0,0.0,0.0
244,iter-0,40,LowerReek,1,131754061.67,23019595.48,17535217.52,11028438.51
245,iter-0,40,LowerReek,2,0.0,0.0,0.0,0.0
246,iter-0,41,UpperReek,1,301351267.18,46616653.19,33624560.32,21147521.86
247,iter-0,41,UpperReek,2,0.0,0.0,0.0,0.0
248,iter-0,41,MidReek,1,250118331.61,41837410.79,31162460.35,19599031.34
249,iter-0,41,MidReek,2,0.0,0.0,0.0,0.0
250,iter-0,41,LowerReek,1,103721681.57,19446542.04,15278090.58,9608861.84
251,iter-0,41,LowerReek,2,0.0,0.0,0.0,0.0
252,iter-0,42,UpperReek,1,260044999.67,38532248.99,27598574.69,17357593.86
253,iter-0,42,UpperReek,2,0.0,0.0,0.0,0.0
254,iter-0,42,MidReek,1,238787158.11,34596259.62,23955858.5,15066577.42
255,iter-0,42,MidReek,2,0.0,0.0,0.0,0.0
256,iter-0,42,LowerReek,1,128327929.17,22380699.7,17270444.55,10861914.63
257,iter-0,42,LowerReek,2,0.0,0.0,0.0,0.0
258,iter-0,43,UpperReek,1,288887687.27,45974318.91,33988272.09,21376271.39
259,iter-0,43,UpperReek,2,0.0,0.0,0.0,0.0
260,iter-0,43,MidReek,1,236336685.74,42600583.43,33791669.3,21252621.85
261,iter-0,43,MidReek,2,0.0,0.0,0.0,0.0
262,iter-0,43,LowerReek,1,126601651.9,24723787.6,20082220.87,12630327.38
